participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
WvfHfFBIfx6m,practice,1617902012336,init_app,-1,-1,False
WvfHfFBIfx6m,practice,1617902050788,get_recommendation,0,-1,True
WvfHfFBIfx6m,practice,1617902069289,card_clicked,0,3,True
WvfHfFBIfx6m,practice,1617902071771,save_selection,0,3,True
WvfHfFBIfx6m,practice,1617902074037,close_app,-1,-1,False
WvfHfFBIfx6m,movies,1617902283708,init_app,-1,-1,False
WvfHfFBIfx6m,movies,1617902290642,card_clicked,0,2,False
WvfHfFBIfx6m,movies,1617902292592,save_selection,0,2,False
WvfHfFBIfx6m,movies,1617902301966,continue,0,-1,True
WvfHfFBIfx6m,movies,1617902321447,card_clicked,1,7,False
WvfHfFBIfx6m,movies,1617902323598,save_selection,1,7,False
WvfHfFBIfx6m,movies,1617902327698,continue,1,-1,True
WvfHfFBIfx6m,movies,1617902346301,card_clicked,2,45,False
WvfHfFBIfx6m,movies,1617902346901,card_clicked,2,37,False
WvfHfFBIfx6m,movies,1617902347373,card_clicked,2,45,False
WvfHfFBIfx6m,movies,1617902353119,card_clicked,2,37,False
WvfHfFBIfx6m,movies,1617902354800,get_recommendation,2,37,True
WvfHfFBIfx6m,movies,1617902358068,save_selection,2,37,True
WvfHfFBIfx6m,movies,1617902377328,card_clicked,3,48,False
WvfHfFBIfx6m,movies,1617902379327,get_recommendation,3,48,True
WvfHfFBIfx6m,movies,1617902382518,save_selection,3,48,True
WvfHfFBIfx6m,movies,1617902389270,card_clicked,4,1,False
WvfHfFBIfx6m,movies,1617902404822,card_clicked,4,10,False
WvfHfFBIfx6m,movies,1617902406005,card_clicked,4,15,False
WvfHfFBIfx6m,movies,1617902409103,save_selection,4,15,False
WvfHfFBIfx6m,movies,1617902415103,continue,4,-1,True
WvfHfFBIfx6m,movies,1617902420305,card_clicked,5,47,False
WvfHfFBIfx6m,movies,1617902421481,save_selection,5,47,False
WvfHfFBIfx6m,movies,1617902427208,close_app,-1,-1,False
WvfHfFBIfx6m,hiring,1617902436225,init_app,-1,-1,False
WvfHfFBIfx6m,hiring,1617902460685,card_clicked,0,8,False
WvfHfFBIfx6m,hiring,1617902462122,save_selection,0,8,False
WvfHfFBIfx6m,hiring,1617902466088,continue,0,-1,True
WvfHfFBIfx6m,hiring,1617902472303,card_clicked,1,4,False
WvfHfFBIfx6m,hiring,1617902475070,save_selection,1,4,False
WvfHfFBIfx6m,hiring,1617902480456,continue,1,-1,True
WvfHfFBIfx6m,hiring,1617902482623,card_clicked,2,9,False
WvfHfFBIfx6m,hiring,1617902483289,save_selection,2,9,False
WvfHfFBIfx6m,hiring,1617902486423,continue,2,-1,True
WvfHfFBIfx6m,hiring,1617902490021,card_clicked,3,25,False
WvfHfFBIfx6m,hiring,1617902490707,save_selection,3,25,False
WvfHfFBIfx6m,hiring,1617902494861,continue,3,-1,True
WvfHfFBIfx6m,hiring,1617902498156,card_clicked,4,32,False
WvfHfFBIfx6m,hiring,1617902501490,card_clicked,4,35,False
WvfHfFBIfx6m,hiring,1617902502440,save_selection,4,35,False
WvfHfFBIfx6m,hiring,1617902506107,continue,4,-1,True
WvfHfFBIfx6m,hiring,1617902510665,card_clicked,5,42,False
WvfHfFBIfx6m,hiring,1617902514020,card_clicked,5,45,False
WvfHfFBIfx6m,hiring,1617902514994,save_selection,5,45,False
WvfHfFBIfx6m,hiring,1617902519441,close_app,-1,-1,False
