participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
8wC3YK6TgqRm,practice,1617902093430,init_app,-1,-1,False
8wC3YK6TgqRm,practice,1617902150187,card_clicked,0,3,False
8wC3YK6TgqRm,practice,1617902152386,save_selection,0,3,False
8wC3YK6TgqRm,practice,1617902167018,close_app,-1,-1,False
8wC3YK6TgqRm,movies,1617902495463,init_app,-1,-1,False
8wC3YK6TgqRm,movies,1617902519768,card_clicked,0,12,False
8wC3YK6TgqRm,movies,1617902521539,save_selection,0,12,False
8wC3YK6TgqRm,movies,1617902525638,continue,0,-1,True
8wC3YK6TgqRm,movies,1617902542312,card_clicked,1,7,False
8wC3YK6TgqRm,movies,1617902551513,card_clicked,1,26,False
8wC3YK6TgqRm,movies,1617902553705,save_selection,1,26,False
8wC3YK6TgqRm,movies,1617902557748,continue,1,-1,True
8wC3YK6TgqRm,movies,1617902574367,card_clicked,2,33,False
8wC3YK6TgqRm,movies,1617902575357,save_selection,2,33,False
8wC3YK6TgqRm,movies,1617902578490,continue,2,-1,True
8wC3YK6TgqRm,movies,1617902586891,card_clicked,3,29,False
8wC3YK6TgqRm,movies,1617902589707,save_selection,3,29,False
8wC3YK6TgqRm,movies,1617902592558,continue,3,-1,True
8wC3YK6TgqRm,movies,1617902604869,card_clicked,4,15,False
8wC3YK6TgqRm,movies,1617902606415,save_selection,4,15,False
8wC3YK6TgqRm,movies,1617902609394,continue,4,-1,True
8wC3YK6TgqRm,movies,1617902617653,card_clicked,5,42,False
8wC3YK6TgqRm,movies,1617902618999,save_selection,5,42,False
8wC3YK6TgqRm,movies,1617902623858,close_app,-1,-1,False
8wC3YK6TgqRm,hiring,1617902644722,init_app,-1,-1,False
8wC3YK6TgqRm,hiring,1617902653864,card_clicked,0,28,False
8wC3YK6TgqRm,hiring,1617902656269,save_selection,0,28,False
8wC3YK6TgqRm,hiring,1617902659566,continue,0,-1,True
8wC3YK6TgqRm,hiring,1617902666296,card_clicked,1,4,False
8wC3YK6TgqRm,hiring,1617902667952,save_selection,1,4,False
8wC3YK6TgqRm,hiring,1617902670528,continue,1,-1,True
8wC3YK6TgqRm,hiring,1617902676255,card_clicked,2,12,False
8wC3YK6TgqRm,hiring,1617902677270,save_selection,2,12,False
8wC3YK6TgqRm,hiring,1617902680032,continue,2,-1,True
8wC3YK6TgqRm,hiring,1617902690268,card_clicked,3,13,False
8wC3YK6TgqRm,hiring,1617902691317,save_selection,3,13,False
8wC3YK6TgqRm,hiring,1617902694128,continue,3,-1,True
8wC3YK6TgqRm,hiring,1617902703703,card_clicked,4,48,False
8wC3YK6TgqRm,hiring,1617902704754,save_selection,4,48,False
8wC3YK6TgqRm,hiring,1617902707236,continue,4,-1,True
8wC3YK6TgqRm,hiring,1617902739688,card_clicked,5,45,False
8wC3YK6TgqRm,hiring,1617902740999,save_selection,5,45,False
8wC3YK6TgqRm,hiring,1617902745742,close_app,-1,-1,False
